"","ID","EMPLOYER","VEHPERDR","VEHPERWK","COMMTIME","NORMHOUR","SPEED","OVERTIME","CSO9FT4","CSO9FT3","CSO9FT5","CSO9FT6","CSO9FT9","CSO9FT1","CSO9FT2","CSO9FT8","CSO9FT7","EFACT1","EFACT3","EFACT9","EFACT7","EFACT2","EFACT5","EFACT6","EFACT4","C1CONT","JOBCONST","MANCONST","SELFDRIV","TECHCONS","C1CONTC","C1CONTH","C2CONT","C2CONTC","C2CONTH","CHILD616","CH616F","CHILDLT6","CHILDINH","C3H17M","FEMALE","JOBHOME","LD","MANDPRV","NOSPACE","PCNAV","SUPERVIS","UNAWARE","TSUPNO","F1NVEH","F2HWPLDI","F3HWPLMI","F4WPLHMI","F8AGEGR","F9HHSIZ","F10LT2","F10B6_15","F10B2_5","F11","F12FTWKE","F12PTWKE","F13DRLIC","F14HHLIC","F15EDUC","F16INCOM","DISTANCE","F7SEX","B4OCCUP"
"133",1248,2,2,2,50,80,26.4,0,-1.56919,-1.70544,-2.32513,-1.88086,-3.20858,-2.84463,-2.04785,-2.49422,-2.58311,0.15782,0.43967,-0.38109,-0.05514,0.38676,1.01048,-0.80909,-0.05399,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,0,1,0,0,4,11,20,30,4,4,0,2,0,2,2,0,1,1,4,5,22,2,7
"134",1249,2,-1,0.5,60,80,30,0,-0.91785,-0.91588,-0.36533,1.72704,0.20658,0.24279,-0.77681,-0.5876,-1.14769,0.99675,-0.2112,-0.34382,-0.20678,1.42853,-0.00963,0.05988,-0.13976,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,2,15,30,30,4,4,0,0,0,2,4,0,-1,-1,3,3,30,2,2
"135",1276,2,1,1,35,80,34.3,8,-0.33903,-0.85974,0.061,-0.89126,-0.78958,-0.40239,0.10391,0.54464,-0.60439,-0.30075,2.12122,-0.42259,-0.10369,0.46845,-0.28223,-0.24373,-1.2904,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,1,0,0,3,10,15,20,4,3,0,0,0,2,2,1,1,2,4,4,20,2,2
"136",1292,2,1,1,50,80,36,10,-0.79773,1.51032,2.1225,1.63012,-0.64079,-0.74947,-0.34967,1.51726,0.07106,0.01234,1.52941,-0.20667,0.44089,0.34227,0.27538,-0.59818,0.52747,3,0,0,1,2,3,3,3,3,3,0,0,0,0,1,1,1,5,0,0,1,1,0,0,1,15,30,20,2,1,0,0,0,2,1,0,1,0,4,3,30,1,2
"137",1296,2,1,1,55,80,24,0,-0.01318,0.61068,-0.49199,0.9432,0.99699,1.05032,-0.75016,0.50922,-0.65784,1.49923,-0.2409,0.84896,0.89545,-0.08247,-0.62058,-0.83532,0.26984,3,0,0,1,0,3,3,3,3,3,0,0,0,0,1,1,1,5,0,0,0,0,0,0,2,11,25,30,3,2,0,0,0,2,2,0,1,1,5,6,22,1,1
"138",1330,2,1,1,30,80,20,30,0.42724,1.43163,1.25254,-0.68333,0.02327,0.71521,0.30099,1.50237,0.64377,0.87128,-0.60298,0.45101,1.46221,0.01456,0.93978,0.18143,1.05826,2,1,0,1,2,0,2,2,0,2,0,0,0,0,1,1,1,9,0,0,0,1,0,0,2,5,15,15,3,2,0,0,0,2,2,0,1,1,6,6,10,1,2
"139",1332,2,1,1,30,80,32,10,-0.68608,-0.86183,-0.68248,-0.92221,-1.46945,-0.86356,0.16343,1.51982,-0.54465,0.29912,-0.39388,-0.74732,0.3643,1.05361,-0.15063,-0.73069,-0.41355,3,1,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,8,15,15,4,1,0,0,0,2,1,0,1,0,5,4,16,2,1
"140",1347,2,1,1,50,80,28.8,5,0.64945,1.41796,-0.03567,0.23293,1.29526,0.89436,-0.06936,0.07683,0.62172,1.01404,-0.44903,0.26103,0.41124,-0.17252,0.84719,-0.23244,0.09446,2,0,0,1,1,2,2,2,2,2,0,0,1,1,1,1,1,6,0,0,0,0,0,0,1,12,25,25,3,2,0,0,1,2,1,0,1,0,6,3,24,1,2
"141",1356,2,1,1,35,80,24,0,1.89821,0.74662,1.82361,1.01233,1.11227,1.14285,0.85491,0.52167,0.71009,-0.56303,-0.02551,-1.49675,0.366,0.51974,0.37692,0.15094,-0.38985,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,7,15,20,3,2,0,0,0,2,2,0,1,1,3,3,14,2,7
"142",1371,2,1,2,35,80,20.6,0,0.21341,-0.87015,1.00975,-1.19622,-1.43784,-0.52405,-0.36208,0.53798,-0.604,-0.5126,-0.13872,-0.92208,0.75554,0.7354,-0.38644,0.05649,-0.47434,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,6,15,20,5,2,0,0,0,2,1,0,1,1,2,3,12,1,5
"143",1382,2,0.8,1.3,30,80,40,0,-0.54119,1.52197,2.03305,1.79557,0.83576,0.19226,0.02649,-1.94368,-0.06953,-0.37503,0.98049,0.12922,0.99629,1.30498,-0.89247,0.2999,0.89888,4,0,0,1,0,0,4,3,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,10,15,15,6,6,1,0,0,2,1,2,1,4,3,3,20,2,5
